slug,trade,category,unit,unit_label,low_usd,typical_usd,high_usd,source_url
"house-cleaning","house cleaning","Home Services","hour","per hour","25","40","60","https://getwhattocharge.com/how-much-to-charge-for/house-cleaning"
"pressure-washing","pressure washing","Home Services","sqft","per square foot","0.15","0.35","0.75","https://getwhattocharge.com/how-much-to-charge-for/pressure-washing"
"lawn-mowing","lawn mowing","Home Services","visit","per visit","30","50","90","https://getwhattocharge.com/how-much-to-charge-for/lawn-mowing"
"dog-walking","dog walking","Pet & Childcare","walk","per 30-min walk","15","25","40","https://getwhattocharge.com/how-much-to-charge-for/dog-walking"
"dog-sitting","dog sitting","Pet & Childcare","night","per night","40","60","95","https://getwhattocharge.com/how-much-to-charge-for/dog-sitting"
"babysitting","babysitting","Pet & Childcare","hour","per hour","15","22","30","https://getwhattocharge.com/how-much-to-charge-for/babysitting"
"logo-design","logo design","Creative & Freelance","project","per project","150","500","1500","https://getwhattocharge.com/how-much-to-charge-for/logo-design"
"freelance-writing","freelance writing","Creative & Freelance","word","per word","0.1","0.3","1","https://getwhattocharge.com/how-much-to-charge-for/freelance-writing"
"freelance-web-development","freelance web development","Creative & Freelance","hour","per hour","50","95","150","https://getwhattocharge.com/how-much-to-charge-for/freelance-web-development"
"social-media-management","social media management","Creative & Freelance","month","per month (retainer)","500","1500","4000","https://getwhattocharge.com/how-much-to-charge-for/social-media-management"
"car-detailing","car detailing","Home Services","job","per vehicle","50","120","250","https://getwhattocharge.com/how-much-to-charge-for/car-detailing"
"crochet-items","crochet items","Makers & Crafts","item","per item","15","45","120","https://getwhattocharge.com/how-much-to-charge-for/crochet-items"
"interior-painting","interior painting","Home Services","room","per room","250","450","800","https://getwhattocharge.com/how-much-to-charge-for/interior-painting"
"window-cleaning","window cleaning","Home Services","window","per window","4","8","15","https://getwhattocharge.com/how-much-to-charge-for/window-cleaning"
"gutter-cleaning","gutter cleaning","Home Services","job","per job","100","175","300","https://getwhattocharge.com/how-much-to-charge-for/gutter-cleaning"
"snow-removal","snow removal","Home Services","visit","per visit","30","60","120","https://getwhattocharge.com/how-much-to-charge-for/snow-removal"
"handyman","handyman work","Home Services","hour","per hour","50","75","110","https://getwhattocharge.com/how-much-to-charge-for/handyman"
"pet-grooming","pet grooming","Pet & Childcare","session","per session","40","70","120","https://getwhattocharge.com/how-much-to-charge-for/pet-grooming"
"video-editing","video editing","Creative & Freelance","minute","per finished minute","30","75","200","https://getwhattocharge.com/how-much-to-charge-for/video-editing"
"bookkeeping","bookkeeping services","Creative & Freelance","month","per month","250","600","1500","https://getwhattocharge.com/how-much-to-charge-for/bookkeeping"
"virtual-assistant","virtual assistant work","Creative & Freelance","hour","per hour","20","35","60","https://getwhattocharge.com/how-much-to-charge-for/virtual-assistant"
"personal-training","personal training","Beauty & Wellness","session","per session","40","70","120","https://getwhattocharge.com/how-much-to-charge-for/personal-training"
"makeup-artist","makeup artistry","Beauty & Wellness","face","per face / event","60","120","250","https://getwhattocharge.com/how-much-to-charge-for/makeup-artist"
"photography","photography","Events & Photography","hour","per hour","75","150","350","https://getwhattocharge.com/how-much-to-charge-for/photography"
"portrait-photography","portrait photography","Events & Photography","session","per session","150","350","800","https://getwhattocharge.com/how-much-to-charge-for/portrait-photography"
"wedding-photography","wedding photography","Events & Photography","event","per wedding","1500","3000","7000","https://getwhattocharge.com/how-much-to-charge-for/wedding-photography"
"tutoring","tutoring","Lessons & Coaching","hour","per hour","25","45","80","https://getwhattocharge.com/how-much-to-charge-for/tutoring"
"music-lessons","music lessons","Lessons & Coaching","hour","per hour","30","50","90","https://getwhattocharge.com/how-much-to-charge-for/music-lessons"
"carpet-cleaning","carpet cleaning","Home Services","room","per room","30","50","80","https://getwhattocharge.com/how-much-to-charge-for/carpet-cleaning"
"junk-removal","junk removal","Home Services","load","per load","100","250","600","https://getwhattocharge.com/how-much-to-charge-for/junk-removal"
"pool-cleaning","pool cleaning","Home Services","month","per month","80","150","250","https://getwhattocharge.com/how-much-to-charge-for/pool-cleaning"
"moving-help","moving help","Home Services","hour","per hour (2 movers)","80","120","200","https://getwhattocharge.com/how-much-to-charge-for/moving-help"
"3d-printing","3d printing","Makers & Crafts","print","per print","10","35","150","https://getwhattocharge.com/how-much-to-charge-for/3d-printing"
"custom-cakes","custom cakes","Makers & Crafts","cake","per cake","50","150","500","https://getwhattocharge.com/how-much-to-charge-for/custom-cakes"
"candle-making","handmade candles","Makers & Crafts","item","per candle","12","25","50","https://getwhattocharge.com/how-much-to-charge-for/candle-making"
"custom-woodworking","custom woodworking","Makers & Crafts","project","per piece","150","600","2500","https://getwhattocharge.com/how-much-to-charge-for/custom-woodworking"
"massage-therapy","massage therapy","Beauty & Wellness","session","per session","60","100","180","https://getwhattocharge.com/how-much-to-charge-for/massage-therapy"
"hair-styling","hair styling","Beauty & Wellness","service","per service","40","90","250","https://getwhattocharge.com/how-much-to-charge-for/hair-styling"
"nail-technician","nail services","Beauty & Wellness","set","per set","30","55","120","https://getwhattocharge.com/how-much-to-charge-for/nail-technician"
"graphic-design","graphic design","Creative & Freelance","project","per project","100","500","2500","https://getwhattocharge.com/how-much-to-charge-for/graphic-design"
"seo-services","SEO services","Creative & Freelance","month","per month (retainer)","750","2000","6000","https://getwhattocharge.com/how-much-to-charge-for/seo-services"
"voice-over","voice over work","Creative & Freelance","project","per project","100","350","1500","https://getwhattocharge.com/how-much-to-charge-for/voice-over"
"dj-services","DJ services","Events & Photography","event","per event","400","1200","3000","https://getwhattocharge.com/how-much-to-charge-for/dj-services"
"catering","catering","Events & Photography","person","per person","20","45","120","https://getwhattocharge.com/how-much-to-charge-for/catering"
"life-coaching","life coaching","Lessons & Coaching","session","per session","75","150","350","https://getwhattocharge.com/how-much-to-charge-for/life-coaching"
"yoga-instruction","yoga instruction","Lessons & Coaching","class","per class","40","75","150","https://getwhattocharge.com/how-much-to-charge-for/yoga-instruction"
"electrician","electrical work","Trades & Repair","hour","per hour","60","100","150","https://getwhattocharge.com/how-much-to-charge-for/electrician"
"plumber","plumbing work","Trades & Repair","hour","per hour","70","110","170","https://getwhattocharge.com/how-much-to-charge-for/plumber"
"appliance-repair","appliance repair","Trades & Repair","job","per job","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/appliance-repair"
